date,channel,line_registrations
2025-12-06,検索広告,862
2025-12-06,SNS広告,315
2025-12-06,自然検索,45
2025-12-06,紹介,82
2025-12-07,検索広告,990
2025-12-07,SNS広告,480
2025-12-07,自然検索,32
2025-12-07,紹介,86
2025-12-08,検索広告,759
2025-12-08,SNS広告,228
2025-12-08,自然検索,33
2025-12-08,紹介,72
2025-12-09,検索広告,822
2025-12-09,SNS広告,288
2025-12-09,自然検索,42
2025-12-09,紹介,85
2025-12-10,検索広告,708
2025-12-10,SNS広告,360
2025-12-10,自然検索,45
2025-12-10,紹介,65
2025-12-11,検索広告,1002
2025-12-11,SNS広告,317
2025-12-11,自然検索,36
2025-12-11,紹介,51
2025-12-12,検索広告,783
2025-12-12,SNS広告,431
2025-12-12,自然検索,32
2025-12-12,紹介,74
2025-12-13,検索広告,785
2025-12-13,SNS広告,321
2025-12-13,自然検索,43
2025-12-13,紹介,101
2025-12-14,検索広告,734
2025-12-14,SNS広告,383
2025-12-14,自然検索,43
2025-12-14,紹介,89
2025-12-15,検索広告,605
2025-12-15,SNS広告,332
2025-12-15,自然検索,33
2025-12-15,紹介,76
2025-12-16,検索広告,564
2025-12-16,SNS広告,337
2025-12-16,自然検索,48
2025-12-16,紹介,93
2025-12-17,検索広告,607
2025-12-17,SNS広告,407
2025-12-17,自然検索,47
2025-12-17,紹介,61
2025-12-18,検索広告,855
2025-12-18,SNS広告,447
2025-12-18,自然検索,50
2025-12-18,紹介,58
2025-12-19,検索広告,826
2025-12-19,SNS広告,416
2025-12-19,自然検索,37
2025-12-19,紹介,85
2025-12-20,検索広告,822
2025-12-20,SNS広告,316
2025-12-20,自然検索,51
2025-12-20,紹介,66
2025-12-21,検索広告,916
2025-12-21,SNS広告,335
2025-12-21,自然検索,39
2025-12-21,紹介,64
2025-12-22,検索広告,970
2025-12-22,SNS広告,249
2025-12-22,自然検索,41
2025-12-22,紹介,50
2025-12-23,検索広告,903
2025-12-23,SNS広告,300
2025-12-23,自然検索,33
2025-12-23,紹介,61
2025-12-24,検索広告,1150
2025-12-24,SNS広告,272
2025-12-24,自然検索,42
2025-12-24,紹介,80
2025-12-25,検索広告,1352
2025-12-25,SNS広告,502
2025-12-25,自然検索,38
2025-12-25,紹介,68
2025-12-26,検索広告,1258
2025-12-26,SNS広告,434
2025-12-26,自然検索,41
2025-12-26,紹介,56
2025-12-27,検索広告,686
2025-12-27,SNS広告,476
2025-12-27,自然検索,35
2025-12-27,紹介,73
2025-12-28,検索広告,639
2025-12-28,SNS広告,347
2025-12-28,自然検索,35
2025-12-28,紹介,70
2025-12-29,検索広告,656
2025-12-29,SNS広告,161
2025-12-29,自然検索,40
2025-12-29,紹介,76
2025-12-30,検索広告,844
2025-12-30,SNS広告,380
2025-12-30,自然検索,27
2025-12-30,紹介,92
2025-12-31,検索広告,1131
2025-12-31,SNS広告,224
2025-12-31,自然検索,38
2025-12-31,紹介,65
2026-01-01,検索広告,1261
2026-01-01,SNS広告,463
2026-01-01,自然検索,38
2026-01-01,紹介,66
2026-01-02,検索広告,852
2026-01-02,SNS広告,230
2026-01-02,自然検索,34
2026-01-02,紹介,73
2026-01-03,検索広告,947
2026-01-03,SNS広告,468
2026-01-03,自然検索,42
2026-01-03,紹介,75
2026-01-04,検索広告,1309
2026-01-04,SNS広告,229
2026-01-04,自然検索,42
2026-01-04,紹介,80
2026-01-05,検索広告,972
2026-01-05,SNS広告,498
2026-01-05,自然検索,44
2026-01-05,紹介,77
2026-01-06,検索広告,1047
2026-01-06,SNS広告,278
2026-01-06,自然検索,42
2026-01-06,紹介,55
2026-01-07,検索広告,1040
2026-01-07,SNS広告,193
2026-01-07,自然検索,43
2026-01-07,紹介,85
2026-01-08,検索広告,749
2026-01-08,SNS広告,465
2026-01-08,自然検索,38
2026-01-08,紹介,65
2026-01-09,検索広告,1292
2026-01-09,SNS広告,333
2026-01-09,自然検索,59
2026-01-09,紹介,103
2026-01-10,検索広告,1288
2026-01-10,SNS広告,336
2026-01-10,自然検索,45
2026-01-10,紹介,96
2026-01-11,検索広告,863
2026-01-11,SNS広告,337
2026-01-11,自然検索,49
2026-01-11,紹介,76
2026-01-12,検索広告,1018
2026-01-12,SNS広告,341
2026-01-12,自然検索,40
2026-01-12,紹介,90
2026-01-13,検索広告,938
2026-01-13,SNS広告,367
2026-01-13,自然検索,41
2026-01-13,紹介,70
2026-01-14,検索広告,1084
2026-01-14,SNS広告,342
2026-01-14,自然検索,43
2026-01-14,紹介,88
2026-01-15,検索広告,797
2026-01-15,SNS広告,383
2026-01-15,自然検索,43
2026-01-15,紹介,72
2026-01-16,検索広告,918
2026-01-16,SNS広告,263
2026-01-16,自然検索,41
2026-01-16,紹介,72
2026-01-17,検索広告,821
2026-01-17,SNS広告,444
2026-01-17,自然検索,39
2026-01-17,紹介,87
2026-01-18,検索広告,846
2026-01-18,SNS広告,288
2026-01-18,自然検索,38
2026-01-18,紹介,94
2026-01-19,検索広告,888
2026-01-19,SNS広告,339
2026-01-19,自然検索,44
2026-01-19,紹介,84
2026-01-20,検索広告,636
2026-01-20,SNS広告,384
2026-01-20,自然検索,38
2026-01-20,紹介,84
2026-01-21,検索広告,1461
2026-01-21,SNS広告,402
2026-01-21,自然検索,41
2026-01-21,紹介,79
2026-01-22,検索広告,1165
2026-01-22,SNS広告,431
2026-01-22,自然検索,47
2026-01-22,紹介,64
2026-01-23,検索広告,1048
2026-01-23,SNS広告,378
2026-01-23,自然検索,42
2026-01-23,紹介,58
2026-01-24,検索広告,926
2026-01-24,SNS広告,459
2026-01-24,自然検索,40
2026-01-24,紹介,63
2026-01-25,検索広告,824
2026-01-25,SNS広告,286
2026-01-25,自然検索,38
2026-01-25,紹介,48
2026-01-26,検索広告,761
2026-01-26,SNS広告,268
2026-01-26,自然検索,32
2026-01-26,紹介,78
2026-01-27,検索広告,877
2026-01-27,SNS広告,386
2026-01-27,自然検索,61
2026-01-27,紹介,72
2026-01-28,検索広告,716
2026-01-28,SNS広告,422
2026-01-28,自然検索,48
2026-01-28,紹介,71
2026-01-29,検索広告,1050
2026-01-29,SNS広告,362
2026-01-29,自然検索,34
2026-01-29,紹介,89
2026-01-30,検索広告,1070
2026-01-30,SNS広告,344
2026-01-30,自然検索,34
2026-01-30,紹介,77
2026-01-31,検索広告,1101
2026-01-31,SNS広告,309
2026-01-31,自然検索,38
2026-01-31,紹介,74
2026-02-01,検索広告,1218
2026-02-01,SNS広告,351
2026-02-01,自然検索,43
2026-02-01,紹介,58
2026-02-02,検索広告,1278
2026-02-02,SNS広告,327
2026-02-02,自然検索,41
2026-02-02,紹介,97
2026-02-03,検索広告,827
2026-02-03,SNS広告,501
2026-02-03,自然検索,34
2026-02-03,紹介,88
2026-02-04,検索広告,948
2026-02-04,SNS広告,520
2026-02-04,自然検索,36
2026-02-04,紹介,65
2026-02-05,検索広告,1014
2026-02-05,SNS広告,323
2026-02-05,自然検索,46
2026-02-05,紹介,82
2026-02-06,検索広告,1161
2026-02-06,SNS広告,246
2026-02-06,自然検索,57
2026-02-06,紹介,83
2026-02-07,検索広告,1141
2026-02-07,SNS広告,509
2026-02-07,自然検索,61
2026-02-07,紹介,90
2026-02-08,検索広告,519
2026-02-08,SNS広告,555
2026-02-08,自然検索,35
2026-02-08,紹介,63
2026-02-09,検索広告,907
2026-02-09,SNS広告,384
2026-02-09,自然検索,46
2026-02-09,紹介,46
2026-02-10,検索広告,965
2026-02-10,SNS広告,473
2026-02-10,自然検索,71
2026-02-10,紹介,60
2026-02-11,検索広告,974
2026-02-11,SNS広告,258
2026-02-11,自然検索,43
2026-02-11,紹介,96
2026-02-12,検索広告,1245
2026-02-12,SNS広告,314
2026-02-12,自然検索,67
2026-02-12,紹介,81
2026-02-13,検索広告,653
2026-02-13,SNS広告,474
2026-02-13,自然検索,48
2026-02-13,紹介,63
2026-02-14,検索広告,964
2026-02-14,SNS広告,291
2026-02-14,自然検索,40
2026-02-14,紹介,68
2026-02-15,検索広告,1006
2026-02-15,SNS広告,311
2026-02-15,自然検索,34
2026-02-15,紹介,82
2026-02-16,検索広告,1014
2026-02-16,SNS広告,373
2026-02-16,自然検索,42
2026-02-16,紹介,86
2026-02-17,検索広告,882
2026-02-17,SNS広告,432
2026-02-17,自然検索,49
2026-02-17,紹介,69
2026-02-18,検索広告,1029
2026-02-18,SNS広告,464
2026-02-18,自然検索,48
2026-02-18,紹介,66
2026-02-19,検索広告,976
2026-02-19,SNS広告,311
2026-02-19,自然検索,58
2026-02-19,紹介,79
2026-02-20,検索広告,1510
2026-02-20,SNS広告,405
2026-02-20,自然検索,66
2026-02-20,紹介,86
2026-02-21,検索広告,1180
2026-02-21,SNS広告,441
2026-02-21,自然検索,42
2026-02-21,紹介,74
2026-02-22,検索広告,744
2026-02-22,SNS広告,291
2026-02-22,自然検索,45
2026-02-22,紹介,83
2026-02-23,検索広告,604
2026-02-23,SNS広告,445
2026-02-23,自然検索,43
2026-02-23,紹介,67
2026-02-24,検索広告,937
2026-02-24,SNS広告,238
2026-02-24,自然検索,47
2026-02-24,紹介,64
2026-02-25,検索広告,987
2026-02-25,SNS広告,464
2026-02-25,自然検索,42
2026-02-25,紹介,78
2026-02-26,検索広告,990
2026-02-26,SNS広告,399
2026-02-26,自然検索,54
2026-02-26,紹介,73
2026-02-27,検索広告,620
2026-02-27,SNS広告,369
2026-02-27,自然検索,41
2026-02-27,紹介,87
2026-02-28,検索広告,902
2026-02-28,SNS広告,392
2026-02-28,自然検索,47
2026-02-28,紹介,84
2026-03-01,検索広告,1083
2026-03-01,SNS広告,304
2026-03-01,自然検索,54
2026-03-01,紹介,84
2026-03-02,検索広告,1192
2026-03-02,SNS広告,358
2026-03-02,自然検索,44
2026-03-02,紹介,63
2026-03-03,検索広告,906
2026-03-03,SNS広告,333
2026-03-03,自然検索,39
2026-03-03,紹介,77
2026-03-04,検索広告,1333
2026-03-04,SNS広告,267
2026-03-04,自然検索,69
2026-03-04,紹介,64
2026-03-05,検索広告,888
2026-03-05,SNS広告,321
2026-03-05,自然検索,32
2026-03-05,紹介,78
2026-03-06,検索広告,761
2026-03-06,SNS広告,258
2026-03-06,自然検索,48
2026-03-06,紹介,71
2026-03-07,検索広告,910
2026-03-07,SNS広告,373
2026-03-07,自然検索,33
2026-03-07,紹介,62
2026-03-08,検索広告,764
2026-03-08,SNS広告,546
2026-03-08,自然検索,51
2026-03-08,紹介,93
2026-03-09,検索広告,977
2026-03-09,SNS広告,303
2026-03-09,自然検索,45
2026-03-09,紹介,76
2026-03-10,検索広告,885
2026-03-10,SNS広告,362
2026-03-10,自然検索,46
2026-03-10,紹介,92
2026-03-11,検索広告,1046
2026-03-11,SNS広告,489
2026-03-11,自然検索,46
2026-03-11,紹介,73
2026-03-12,検索広告,665
2026-03-12,SNS広告,401
2026-03-12,自然検索,34
2026-03-12,紹介,102
2026-03-13,検索広告,1162
2026-03-13,SNS広告,369
2026-03-13,自然検索,46
2026-03-13,紹介,73
2026-03-14,検索広告,1176
2026-03-14,SNS広告,371
2026-03-14,自然検索,39
2026-03-14,紹介,61
2026-03-15,検索広告,909
2026-03-15,SNS広告,410
2026-03-15,自然検索,27
2026-03-15,紹介,83
2026-03-16,検索広告,1241
2026-03-16,SNS広告,502
2026-03-16,自然検索,62
2026-03-16,紹介,107
2026-03-17,検索広告,875
2026-03-17,SNS広告,383
2026-03-17,自然検索,42
2026-03-17,紹介,85
2026-03-18,検索広告,960
2026-03-18,SNS広告,261
2026-03-18,自然検索,31
2026-03-18,紹介,113
2026-03-19,検索広告,833
2026-03-19,SNS広告,534
2026-03-19,自然検索,49
2026-03-19,紹介,61
2026-03-20,検索広告,820
2026-03-20,SNS広告,298
2026-03-20,自然検索,38
2026-03-20,紹介,80
2026-03-21,検索広告,1035
2026-03-21,SNS広告,309
2026-03-21,自然検索,42
2026-03-21,紹介,103
2026-03-22,検索広告,1022
2026-03-22,SNS広告,345
2026-03-22,自然検索,48
2026-03-22,紹介,83
2026-03-23,検索広告,1167
2026-03-23,SNS広告,370
2026-03-23,自然検索,44
2026-03-23,紹介,87
2026-03-24,検索広告,1195
2026-03-24,SNS広告,337
2026-03-24,自然検索,45
2026-03-24,紹介,65
2026-03-25,検索広告,798
2026-03-25,SNS広告,282
2026-03-25,自然検索,43
2026-03-25,紹介,92
2026-03-26,検索広告,1153
2026-03-26,SNS広告,341
2026-03-26,自然検索,43
2026-03-26,紹介,73
2026-03-27,検索広告,1249
2026-03-27,SNS広告,479
2026-03-27,自然検索,45
2026-03-27,紹介,100
2026-03-28,検索広告,949
2026-03-28,SNS広告,418
2026-03-28,自然検索,57
2026-03-28,紹介,92
2026-03-29,検索広告,1041
2026-03-29,SNS広告,617
2026-03-29,自然検索,42
2026-03-29,紹介,89
2026-03-30,検索広告,1204
2026-03-30,SNS広告,337
2026-03-30,自然検索,50
2026-03-30,紹介,86
2026-03-31,検索広告,652
2026-03-31,SNS広告,283
2026-03-31,自然検索,50
2026-03-31,紹介,76
